Subject,Relation,Object
空调,UNIT_FAILURE,熄火
坦克300,HAS_UNIT,空调
荣威360,HAS_UNIT,变速箱
缤越,HAS_UNIT,空调
迈锐宝XL,HAS_UNIT,电池
帝豪GL,HAS_UNIT,传感器
奔驰C级,HAS_UNIT,电机
起亚K5,HAS_UNIT,燃油泵
起亚K5,HAS_UNIT,传感器
燃油泵,COMPOSED_OF,传感器
影豹,HAS_UNIT,变速箱
远景X6,HAS_UNIT,传感器
标致408,HAS_UNIT,传感器
思铂睿,HAS_UNIT,变速箱
威旺M20,HAS_UNIT,传感器
五菱荣光,HAS_UNIT,变速箱
五菱荣光,HAS_UNIT,发动机
艾力绅,HAS_UNIT,传感器
标致408,HAS_UNIT,空调
红旗HS5,HAS_UNIT,空调
奥迪A6L,HAS_UNIT,发动机
问界M7,HAS_UNIT,电池
五菱宏光,HAS_UNIT,变速箱
哈弗H2s,HAS_UNIT,发动机
哈弗H6,HAS_UNIT,变速箱
宝马X3,HAS_UNIT,变速箱
海马M3,HAS_UNIT,电池
海马M3,HAS_UNIT,电机
海马M3,HAS_UNIT,发动机
海马M3,HAS_UNIT,空调
海马M3,HAS_UNIT,水泵
海马M3,HAS_UNIT,轴承
海马M3,HAS_UNIT,助力泵
水泵,UNIT_FAILURE,无法启动
轴承,UNIT_FAILURE,无法启动
助力泵,UNIT_FAILURE,无法启动
小海狮X30,HAS_UNIT,发动机
小海狮X30,HAS_UNIT,传感器
比亚迪F3R,HAS_UNIT,燃油泵
比亚迪F3R,HAS_UNIT,电池
燃油泵,UNIT_FAILURE,报警
RAV4荣放双擎E+,HAS_UNIT,发动机
上汽大通MAXUS G10,HAS_UNIT,变速箱
长安CS75,HAS_UNIT,控制器
东风风神E70,HAS_UNIT,电机
锋范,HAS_UNIT,电池
电压,FEATURE_FAILURE,报警
名爵6,HAS_UNIT,转向机
梦想家,HAS_UNIT,电机
Model Y,HAS_UNIT,空调
昂科威,HAS_UNIT,电机
金杯T32,HAS_UNIT,发动机
金杯T32,HAS_UNIT,冷却系统
金杯T32,HAS_UNIT,水泵
威旺M50F,HAS_UNIT,电池
威旺M50F,HAS_UNIT,发动机
赛欧,HAS_UNIT,燃油泵
赛欧,HAS_UNIT,发动机
汉,HAS_UNIT,转换器
汉,HAS_UNIT,电池
汉,HAS_UNIT,电机
转换器,COMPOSED_OF,电池
型格,HAS_UNIT,助力泵
汉,HAS_UNIT,控制器
电池,COMPOSED_OF,控制器
赛欧,HAS_UNIT,传感器
风行SX6,HAS_UNIT,发动机
风行SX6,HAS_UNIT,传感器
科鲁兹,HAS_UNIT,转向机
万用表,DETECTS,电压
捷达,HAS_UNIT,变速箱
艾瑞泽5,HAS_UNIT,转向机
奔腾T77,HAS_UNIT,传感器
奔腾T77,HAS_UNIT,轴承
传感器,COMPOSED_OF,轴承
元Pro,HAS_UNIT,空调
元PLUS,HAS_UNIT,空调
桑塔纳,HAS_UNIT,发动机
哈弗F7,HAS_UNIT,发动机
探岳,HAS_UNIT,轴承
英朗,HAS_UNIT,转向机
长安CS75 PLUS,HAS_UNIT,电机
领克01,HAS_UNIT,发动机
领克01,HAS_UNIT,传感器
汉兰达,HAS_UNIT,冷却系统
压力,FEATURE_FAILURE,降低
功率,FEATURE_FAILURE,降低
领克01,HAS_UNIT,变速箱
领克01,HAS_UNIT,电池
探岳,HAS_UNIT,助力泵
逸动,HAS_UNIT,电池
电池,COMPOSED_OF,传感器
T-ROC探歌,HAS_UNIT,发动机
长安UNI-K,HAS_UNIT,发动机
坦克300,HAS_UNIT,发动机
皇冠陆放,HAS_UNIT,空调
功率,FEATURE_FAILURE,异响
瑞虎5x,HAS_UNIT,发动机
锐际,HAS_UNIT,发动机
风光580,HAS_UNIT,变速箱
凯越,HAS_UNIT,空调
伊兰特,HAS_UNIT,空调
逍客,HAS_UNIT,水泵
歌诗图,HAS_UNIT,冷却系统
歌诗图,HAS_UNIT,水泵
帝豪L 雷神Hi·P,HAS_UNIT,电池
帝豪L 雷神Hi·P,HAS_UNIT,动力电池
翼搏,HAS_UNIT,传感器
途昂X,HAS_UNIT,发动机
亚洲龙,HAS_UNIT,水泵
红旗H5,HAS_UNIT,变速箱
红旗H5,HAS_UNIT,发动机
红旗H5,HAS_UNIT,传感器
桑塔纳,HAS_UNIT,轴承
神行者2,HAS_UNIT,发动机
神行者2,HAS_UNIT,冷却系统
神行者2,HAS_UNIT,传感器
神行者2,HAS_UNIT,水泵
福睿斯,HAS_UNIT,电机
远景X6,HAS_UNIT,电机
缤越,HAS_UNIT,传感器
AION Y,HAS_UNIT,动力电池
皇冠陆放,HAS_UNIT,电池
电压,FEATURE_FAILURE,降低
森雅M80,HAS_UNIT,发动机
传祺GS8,HAS_UNIT,电池
秦PLUS,HAS_UNIT,空调
领睿,HAS_UNIT,变速箱
领睿,HAS_UNIT,发动机
宝骏730,HAS_UNIT,空调
宋Pro新能源,HAS_UNIT,电池
宋Pro新能源,HAS_UNIT,动力电池
长安CS75,HAS_UNIT,传感器
宝来,HAS_UNIT,电池
瑞虎7,HAS_UNIT,发动机
瑞虎7,HAS_UNIT,转向机
卡罗拉锐放,HAS_UNIT,变速箱
卡罗拉锐放,HAS_UNIT,发动机
魏牌 VV7,HAS_UNIT,发动机
君威,HAS_UNIT,水泵
奔驰GLA,HAS_UNIT,发动机
宋PLUS,HAS_UNIT,发动机
北京现代ix35,HAS_UNIT,变速箱
北京现代ix35,HAS_UNIT,发动机
传祺GS4,HAS_UNIT,传感器
中华V7,HAS_UNIT,空调
坦克500,HAS_UNIT,发动机
宝骏510,HAS_UNIT,发动机
宝骏510,HAS_UNIT,传感器
宝骏310W,HAS_UNIT,变速箱
远景,HAS_UNIT,发动机
蔚来ET7,HAS_UNIT,电池
蔚来ET7,HAS_UNIT,电机
蔚来ET7,HAS_UNIT,发动机
艾瑞泽5,HAS_UNIT,水泵
水泵,UNIT_FAILURE,报警
英朗,HAS_UNIT,助力泵
金杯T32,HAS_UNIT,助力泵
奥迪Q2L,HAS_UNIT,燃油泵
奥迪Q2L,HAS_UNIT,传感器
五菱星辰,HAS_UNIT,变速箱
五菱星辰,HAS_UNIT,发动机
亚洲龙,HAS_UNIT,冷却系统
冷却系统,UNIT_FAILURE,异响
哥瑞,HAS_UNIT,传感器
帝豪,HAS_UNIT,冷却系统
帝豪,HAS_UNIT,水泵
冷却系统,UNIT_FAILURE,熄火
水泵,UNIT_FAILURE,熄火
东南DX5,HAS_UNIT,发动机
途胜,HAS_UNIT,转向机
远景,HAS_UNIT,燃油泵
炮,HAS_UNIT,发动机
五菱星辰,HAS_UNIT,电机
英朗,HAS_UNIT,空调
五菱之光,HAS_UNIT,变速箱
五菱之光,HAS_UNIT,轴承
轴承,UNIT_FAILURE,熄火
阿特兹,HAS_UNIT,变速箱
悦动,HAS_UNIT,燃油泵
悦动,HAS_UNIT,发动机
悦动,HAS_UNIT,传感器
星瑞,HAS_UNIT,传感器
宝来,HAS_UNIT,转向机
捷达VS7,HAS_UNIT,空调
星越,HAS_UNIT,差速器
开拓者,HAS_UNIT,变速箱
开拓者,HAS_UNIT,发动机
沃尔沃XC90,HAS_UNIT,空调
奥迪Q5L,HAS_UNIT,传感器
昂科威,HAS_UNIT,空调
凯迪拉克CT4,HAS_UNIT,变速箱
凯迪拉克CT4,HAS_UNIT,发动机
哈弗酷狗,HAS_UNIT,变速箱
哈弗酷狗,HAS_UNIT,发动机
逍客,HAS_UNIT,电池
名图,HAS_UNIT,发动机
缤瑞,HAS_UNIT,轴承
奥迪Q7,HAS_UNIT,传感器
朗逸,HAS_UNIT,助力泵
思域,HAS_UNIT,转向机
雪铁龙C4L,HAS_UNIT,传感器
众泰T800,HAS_UNIT,变速箱
众泰T800,HAS_UNIT,发动机
北京现代ix25,HAS_UNIT,转向机
电池,COMPOSED_OF,BMS
捷途X70 PLUS,HAS_UNIT,发动机
风光580,HAS_UNIT,发动机
长安CS75 PLUS,HAS_UNIT,变速箱
领睿,HAS_UNIT,差速器
频率,FEATURE_FAILURE,异响
压力,FEATURE_FAILURE,抖动
梦想家,HAS_UNIT,变速箱
哈弗神兽,HAS_UNIT,变速箱
宋PLUS新能源,HAS_UNIT,传感器
飞度,HAS_UNIT,转向机
转向机,UNIT_FAILURE,漏油
启辰D60EV,HAS_UNIT,电池
朗动,HAS_UNIT,变速箱
朗动,HAS_UNIT,发动机
探险者,HAS_UNIT,变速箱
艾瑞泽5 PLUS,HAS_UNIT,变速箱
起亚KX5,HAS_UNIT,变速箱
长安UNI-V,HAS_UNIT,变速箱
马自达3 昂克赛拉,HAS_UNIT,转向机
奥迪A6L,HAS_UNIT,空调
锋兰达,HAS_UNIT,发动机
锋兰达,HAS_UNIT,变速箱
俊风E11K,HAS_UNIT,电池
博越L,HAS_UNIT,电池
博越L,HAS_UNIT,动力电池
博越,HAS_UNIT,电池
博越,HAS_UNIT,动力电池
思域,HAS_UNIT,空调
锐界,HAS_UNIT,变速箱
锐界,HAS_UNIT,发动机
长安CS75,HAS_UNIT,冷却系统
长安CS75,HAS_UNIT,水泵
瑞虎7 PLUS,HAS_UNIT,变速箱
马自达3 昂克赛拉,HAS_UNIT,空调
玛奇朵DHT,HAS_UNIT,变速箱
名爵ZS,HAS_UNIT,发动机
名爵ZS,HAS_UNIT,空调
RAV4荣放,HAS_UNIT,变速箱
空调,UNIT_FAILURE,抖动
锐际,HAS_UNIT,电机
锐际,HAS_UNIT,差速器
电机,COMPOSED_OF,差速器
长安CS55,HAS_UNIT,空调
君越,HAS_UNIT,变速箱
凯迪拉克CT6,HAS_UNIT,发动机
凡尔赛C5 X,HAS_UNIT,变速箱
凡尔赛C5 X,HAS_UNIT,发动机
起亚K3,HAS_UNIT,发动机
瑞风S3,HAS_UNIT,变速箱
瑞风S3,HAS_UNIT,轴承
轴承,UNIT_FAILURE,卡死
荣威i5,HAS_UNIT,电池
荣威i5,HAS_UNIT,电机
荣威i5,HAS_UNIT,空调
明锐,HAS_UNIT,变速箱
马自达3 昂克赛拉,HAS_UNIT,控制器
控制器,COMPOSED_OF,转向机
福瑞迪,HAS_UNIT,燃油泵
福瑞迪,HAS_UNIT,电池
福瑞迪,HAS_UNIT,发动机
转速,FEATURE_FAILURE,高温
北京BJ40,HAS_UNIT,发动机
起亚KX5,HAS_UNIT,发动机
起亚KX5,HAS_UNIT,传感器
捷途X70,HAS_UNIT,变速箱
捷途X70,HAS_UNIT,电机
变速箱,COMPOSED_OF,电机
瑞虎3x,HAS_UNIT,发动机
奔驰C级,HAS_UNIT,发动机
冷却系统,UNIT_FAILURE,降低
水泵,UNIT_FAILURE,降低
远景,HAS_UNIT,变速箱
长安睿行M60,HAS_UNIT,发动机
凌渡,HAS_UNIT,变速箱
凯迪拉克XT4,HAS_UNIT,差速器
长安欧尚X5,HAS_UNIT,变速箱
长安欧尚X5,HAS_UNIT,发动机
君越,HAS_UNIT,冷却系统
瑞虎7,HAS_UNIT,传感器
翼搏,HAS_UNIT,变速箱
缤越,HAS_UNIT,发动机
空调,UNIT_FAILURE,高温
标致3008,HAS_UNIT,电池
途铠,HAS_UNIT,发动机
冠道,HAS_UNIT,发动机
迈腾,HAS_UNIT,冷却系统
发动机,UNIT_FAILURE,动力受限
冷却系统,UNIT_FAILURE,动力受限
传感器,UNIT_FAILURE,动力受限
水泵,UNIT_FAILURE,动力受限
温度,FEATURE_FAILURE,动力受限
豪越,HAS_UNIT,发动机
思域,HAS_UNIT,发动机
特顺,HAS_UNIT,分离器
高尔夫·嘉旅,HAS_UNIT,变速箱
高尔夫·嘉旅,HAS_UNIT,发动机
凌尚,HAS_UNIT,变速箱
熊猫,HAS_UNIT,发动机
五菱宏光PLUS,HAS_UNIT,传感器
豪越,HAS_UNIT,变速箱
捷达,HAS_UNIT,发动机
捷达,HAS_UNIT,传感器
YARiS L 致炫,HAS_UNIT,发动机
冠道,HAS_UNIT,变速箱
秦PLUS,HAS_UNIT,变速箱
宝来,HAS_UNIT,轴承
轴承,UNIT_FAILURE,降低
风神AX7,HAS_UNIT,变速箱
风神AX7,HAS_UNIT,发动机
哈弗H6S,HAS_UNIT,变速箱
哈弗H6S,HAS_UNIT,电机
哈弗H6S,HAS_UNIT,发动机
荣威i5,HAS_UNIT,变速箱
途岳,HAS_UNIT,变速箱
博越,HAS_UNIT,传感器
途岳,HAS_UNIT,传感器
宝马X5,HAS_UNIT,电池
宝马X5,HAS_UNIT,电机
宝马X5,HAS_UNIT,发动机
世锐PHEV,HAS_UNIT,空调
比亚迪e5,HAS_UNIT,电池
比亚迪e5,HAS_UNIT,动力电池
乐风,HAS_UNIT,变速箱
乐风,HAS_UNIT,发动机
伊兰特,HAS_UNIT,变速箱
轴承,UNIT_FAILURE,报警
哈弗F7,HAS_UNIT,变速箱
哈弗F7,HAS_UNIT,传感器
汉,HAS_UNIT,空调
吉利SC6,HAS_UNIT,发动机
哈弗H6,HAS_UNIT,传感器
变速箱,UNIT_FAILURE,无法启动
比亚迪S6,HAS_UNIT,发动机
比亚迪S6,HAS_UNIT,传感器
艾瑞泽5,HAS_UNIT,轴承
哈弗M6,HAS_UNIT,发动机
奥迪Q5,HAS_UNIT,发动机
奔腾B30,HAS_UNIT,发动机
途观,HAS_UNIT,发动机
秦,HAS_UNIT,传感器
冷却系统,UNIT_FAILURE,漏油
ZR-V 致在,HAS_UNIT,发动机
KX CROSS,HAS_UNIT,变速箱
宋Pro,HAS_UNIT,变速箱
智跑,HAS_UNIT,电池
智跑,HAS_UNIT,电机
欧蓝德,HAS_UNIT,电池
乐风,HAS_UNIT,空调
昂科拉,HAS_UNIT,传感器
探岳,HAS_UNIT,传感器
宝马2系,HAS_UNIT,发动机
艾瑞泽5,HAS_UNIT,传感器
朗逸,HAS_UNIT,燃油泵
领界,HAS_UNIT,发动机
昂科威,HAS_UNIT,轴承
YARiS L 致享,HAS_UNIT,传感器
北京X3,HAS_UNIT,电池
北京X3,HAS_UNIT,电机
北京X3,HAS_UNIT,发动机
远景S1,HAS_UNIT,空调
远景S1,HAS_UNIT,传感器
奇瑞E5,HAS_UNIT,发动机
奇瑞E5,HAS_UNIT,传感器
零跑T03,HAS_UNIT,电池
零跑T03,HAS_UNIT,电机
零跑T03,HAS_UNIT,动力电池
零跑T03,HAS_UNIT,控制器
金刚,HAS_UNIT,传感器
捷达VS5,HAS_UNIT,空调
捷达,HAS_UNIT,空调
长安Lumin,HAS_UNIT,电池
长安Lumin,HAS_UNIT,动力电池
昂科威,HAS_UNIT,差速器
荣威Ei5,HAS_UNIT,电机
星瑞,HAS_UNIT,电池
奕炫,HAS_UNIT,发动机
奕炫,HAS_UNIT,空调
五菱宏光V,HAS_UNIT,发动机
五菱宏光V,HAS_UNIT,传感器
标致5008,HAS_UNIT,发动机
秦Pro,HAS_UNIT,变速箱
秦Pro,HAS_UNIT,发动机
威驰,HAS_UNIT,电机
菱智PLUS,HAS_UNIT,燃油泵
菱智PLUS,HAS_UNIT,变速箱
菱智PLUS,HAS_UNIT,发动机
菱智PLUS,HAS_UNIT,传感器
沃尔沃S60,HAS_UNIT,空调
长安欧尚X7,HAS_UNIT,变速箱
长安欧尚X7,HAS_UNIT,发动机
红旗HS7,HAS_UNIT,燃油泵
红旗HS7,HAS_UNIT,电池
红旗HS7,HAS_UNIT,发动机
轩逸,HAS_UNIT,冷却系统
轩逸,HAS_UNIT,水泵
东南DX7,HAS_UNIT,助力泵
自由侠,HAS_UNIT,发动机
领克05,HAS_UNIT,变速箱
领克05,HAS_UNIT,发动机
俊风E11K,HAS_UNIT,BMS
凌渡,HAS_UNIT,电池
电池,UNIT_FAILURE,抖动
奔腾B30,HAS_UNIT,传感器
别克GL6,HAS_UNIT,变速箱
别克GL6,HAS_UNIT,电池
别克GL6,HAS_UNIT,电机
别克GL6,HAS_UNIT,发动机
别克GL6,HAS_UNIT,动力电池
君威,HAS_UNIT,电机
燃油泵,COMPOSED_OF,电机
明锐,HAS_UNIT,转向机
高尔夫,HAS_UNIT,转向机
悦翔,HAS_UNIT,变速箱
探险者,HAS_UNIT,转向机
哈弗M6,HAS_UNIT,电机
哈弗M6,HAS_UNIT,空调
哈弗M6,HAS_UNIT,轴承
锐程CC,HAS_UNIT,变速箱
荣威i5,HAS_UNIT,发动机
哈弗H4,HAS_UNIT,变速箱
魏牌 VV6,HAS_UNIT,空调
索纳塔,HAS_UNIT,变速箱
索纳塔,HAS_UNIT,发动机
风光ix7,HAS_UNIT,发动机
领克01,HAS_UNIT,燃油泵
远景X6,HAS_UNIT,发动机
长城C30,HAS_UNIT,发动机
影豹,HAS_UNIT,发动机
焕驰,HAS_UNIT,变速箱
朗行,HAS_UNIT,变速箱
瑞虎8,HAS_UNIT,转向机
轩逸,HAS_UNIT,转向机
北京现代ix35,HAS_UNIT,电机
雷凌,HAS_UNIT,空调
奔驰E级,HAS_UNIT,电机
奔驰E级,HAS_UNIT,空调
奔驰E级,HAS_UNIT,轴承
坦克500,HAS_UNIT,变速箱
图雅诺,HAS_UNIT,轴承
探影,HAS_UNIT,发动机
沃尔沃XC60,HAS_UNIT,发动机
柯米克,HAS_UNIT,变速箱
凌渡,HAS_UNIT,空调
Polo,HAS_UNIT,发动机
Polo,HAS_UNIT,轴承
轴承,UNIT_FAILURE,抖动
北京BJ20,HAS_UNIT,变速箱
北京BJ20,HAS_UNIT,传感器
锐界,HAS_UNIT,空调
荣威RX5,HAS_UNIT,变速箱
江淮iC5,HAS_UNIT,传感器
沃尔沃XC60,HAS_UNIT,传感器
森雅R7,HAS_UNIT,电机
途安,HAS_UNIT,变速箱
途安,HAS_UNIT,传感器
速派,HAS_UNIT,发动机
雅阁,HAS_UNIT,变速箱
轩逸,HAS_UNIT,电池
红旗HS7,HAS_UNIT,传感器
宝马X1,HAS_UNIT,变速箱
唐新能源,HAS_UNIT,变速箱
重汽豪沃(HOWO),HAS_UNIT,发动机
摩卡,HAS_UNIT,变速箱
艾瑞泽7,HAS_UNIT,发动机
名爵6,HAS_UNIT,传感器
凯迪拉克XT5,HAS_UNIT,发动机
凌放HARRIER,HAS_UNIT,变速箱
凌放HARRIER,HAS_UNIT,电机
凌放HARRIER,HAS_UNIT,发动机
标致508,HAS_UNIT,电池
锐腾,HAS_UNIT,变速箱
自由侠,HAS_UNIT,电机
自由侠,HAS_UNIT,空调
自由侠,HAS_UNIT,轴承
翼虎,HAS_UNIT,传感器
楼兰,HAS_UNIT,变速箱
森林人,HAS_UNIT,发动机
奕歌,HAS_UNIT,燃油泵
奕歌,HAS_UNIT,发动机
奕歌,HAS_UNIT,传感器
瑞风M3,HAS_UNIT,传感器
宝骏730,HAS_UNIT,轴承
域虎7,HAS_UNIT,变速箱
君越,HAS_UNIT,电池
凌派,HAS_UNIT,变速箱
领界,HAS_UNIT,空调
卡罗拉,HAS_UNIT,电池
雪铁龙C4L,HAS_UNIT,变速箱
欧蓝德,HAS_UNIT,变速箱
传祺GS3,HAS_UNIT,转向机
奇骏·荣耀,HAS_UNIT,轴承
奇骏·荣耀,HAS_UNIT,转向机
帝豪,HAS_UNIT,传感器
熊猫,HAS_UNIT,水泵
水泵,UNIT_FAILURE,异响
奥迪Q5L,HAS_UNIT,冷却系统
远景X1,HAS_UNIT,发动机
皓影,HAS_UNIT,传感器
瑞虎7,HAS_UNIT,冷却系统
奇瑞A3,HAS_UNIT,传感器
锋范经典,HAS_UNIT,轴承
荣威i6,HAS_UNIT,变速箱
奔驰CLS,HAS_UNIT,变速箱
奔驰CLS,HAS_UNIT,发动机
威兰达,HAS_UNIT,发动机
星瑞,HAS_UNIT,转向机
阳光,HAS_UNIT,发动机
牧马人,HAS_UNIT,发动机
牧马人,HAS_UNIT,传感器
速锐,HAS_UNIT,变速箱
速锐,HAS_UNIT,发动机
变速箱,UNIT_FAILURE,高温
缤瑞,HAS_UNIT,传感器
翼神,HAS_UNIT,发动机
翼神,HAS_UNIT,传感器
哈弗M6,HAS_UNIT,变速箱
捷达VS5,HAS_UNIT,燃油泵
缤瑞,HAS_UNIT,转向机
宝骏530,HAS_UNIT,转向机
哈弗H2s,HAS_UNIT,转向机
雷凌,HAS_UNIT,转向机
迈腾,HAS_UNIT,空调
名图,HAS_UNIT,冷却系统
名图,HAS_UNIT,水泵
本田CR-V,HAS_UNIT,电机
雪铁龙C6,HAS_UNIT,变速箱
远景X6,HAS_UNIT,轴承
炮,HAS_UNIT,轴承
马自达CX-30,HAS_UNIT,空调
秦,HAS_UNIT,电池
秦,HAS_UNIT,动力电池
蔚来EC6,HAS_UNIT,电池
奥迪A3,HAS_UNIT,变速箱
宝沃BX7,HAS_UNIT,传感器
速腾,HAS_UNIT,电池
荣威RX5新能源,HAS_UNIT,变速箱
荣威RX5新能源,HAS_UNIT,电池
荣威RX5新能源,HAS_UNIT,发动机
荣威RX5新能源,HAS_UNIT,动力电池
奔腾X80,HAS_UNIT,传感器
指南者,HAS_UNIT,空调
空调,UNIT_FAILURE,摇晃
奕炫,HAS_UNIT,变速箱
创酷,HAS_UNIT,发动机
创酷,HAS_UNIT,传感器
翼虎,HAS_UNIT,转向机
奥迪A6L,HAS_UNIT,水泵
轩逸,HAS_UNIT,空调
蒙迪欧,HAS_UNIT,燃油泵
频率,FEATURE_FAILURE,熄火
骊威,HAS_UNIT,变速箱
大众up!,HAS_UNIT,传感器
瑞虎3x,HAS_UNIT,转向机
瑞虎5x,HAS_UNIT,轴承
捷途X90,HAS_UNIT,发动机
捷途X90,HAS_UNIT,水泵
长安欧尚CX70,HAS_UNIT,燃油泵
长安欧尚CX70,HAS_UNIT,发动机
长安欧尚CX70,HAS_UNIT,传感器
捷豹XJ,HAS_UNIT,传感器
捷豹XE,HAS_UNIT,变速箱
雷克萨斯ES,HAS_UNIT,变速箱
雷克萨斯ES,HAS_UNIT,发动机
秦PLUS,HAS_UNIT,电机
蔚来EC6,HAS_UNIT,电机
捷途X90 PLUS,HAS_UNIT,发动机
捷途X90 PLUS,HAS_UNIT,空调
亚洲龙,HAS_UNIT,变速箱
经典帝豪,HAS_UNIT,变速箱
经典帝豪,HAS_UNIT,轴承
众泰Z500,HAS_UNIT,变速箱
捷豹F-PACE,HAS_UNIT,电机
北京BJ20,HAS_UNIT,空调
瑞虎3xe,HAS_UNIT,空调
思铂睿,HAS_UNIT,发动机
压力,FEATURE_FAILURE,断裂
世嘉,HAS_UNIT,变速箱
菲斯塔,HAS_UNIT,发动机
菲斯塔,HAS_UNIT,传感器
菲斯塔,HAS_UNIT,水泵
马自达3 昂克赛拉,HAS_UNIT,变速箱
捷达VS7,HAS_UNIT,燃油泵
捷达VS7,HAS_UNIT,发动机
捷达VS7,HAS_UNIT,传感器
锋范,HAS_UNIT,空调
嘉悦A5,HAS_UNIT,空调
绅宝X35,HAS_UNIT,电池
皇冠,HAS_UNIT,发动机
汉兰达,HAS_UNIT,轴承
蔚揽,HAS_UNIT,变速箱
帕萨特,HAS_UNIT,传感器
杰德,HAS_UNIT,变速箱
奥迪A4L,HAS_UNIT,控制器
马自达CX-4,HAS_UNIT,变速箱
哈弗H6,HAS_UNIT,空调
宝来,HAS_UNIT,水泵
飞度,HAS_UNIT,电池
变速箱,UNIT_FAILURE,断裂
劲客,HAS_UNIT,发动机
比亚迪S7,HAS_UNIT,转向机
帕萨特新能源,HAS_UNIT,变速箱
领克03,HAS_UNIT,电机
领克03,HAS_UNIT,发动机
奥迪A4L,HAS_UNIT,空调
菲翔,HAS_UNIT,变速箱
捷途X70 PLUS,HAS_UNIT,转向机
奔腾B70,HAS_UNIT,发动机
奔驰C级,HAS_UNIT,空调
锐界,HAS_UNIT,电机
远景,HAS_UNIT,空调
捷豹XFL,HAS_UNIT,燃油泵
捷豹XFL,HAS_UNIT,发动机
传祺M8,HAS_UNIT,冷却系统
传祺M8,HAS_UNIT,传感器
翼虎,HAS_UNIT,轴承
起亚K2,HAS_UNIT,燃油泵
起亚K2,HAS_UNIT,发动机
起亚K2,HAS_UNIT,传感器
电流,FEATURE_FAILURE,报警
哈弗H2,HAS_UNIT,传感器
骐达TIIDA,HAS_UNIT,传感器
翼虎,HAS_UNIT,水泵
哈弗H6,HAS_UNIT,助力泵
雪铁龙C4L,HAS_UNIT,转向机
福睿斯,HAS_UNIT,传感器
速派,HAS_UNIT,空调
速派,HAS_UNIT,传感器
昊锐,HAS_UNIT,发动机
昊锐,HAS_UNIT,传感器
逸动DT,HAS_UNIT,发动机
风骏5,HAS_UNIT,传感器
凌尚,HAS_UNIT,转向机
凯迪拉克ATS-L,HAS_UNIT,传感器
思铂睿,HAS_UNIT,空调
思铂睿,HAS_UNIT,传感器
长安CS75,HAS_UNIT,转向机
Polo,HAS_UNIT,空调
科沃兹,HAS_UNIT,变速箱
凯越,HAS_UNIT,电机
一汽-大众CC,HAS_UNIT,发动机
马自达CX-5,HAS_UNIT,发动机
奥迪A5,HAS_UNIT,传感器
北京X7,HAS_UNIT,电机
风骏6,HAS_UNIT,转向机
沃尔沃XC60,HAS_UNIT,转向机
博瑞,HAS_UNIT,发动机
酷威,HAS_UNIT,变速箱
酷威,HAS_UNIT,发动机
劲客,HAS_UNIT,水泵
索纳塔,HAS_UNIT,传感器
奔腾B70,HAS_UNIT,空调
高尔夫,HAS_UNIT,空调
领克05,HAS_UNIT,电机
逆变器,UNIT_FAILURE,无法启动
哈弗大狗,HAS_UNIT,变速箱
英朗,HAS_UNIT,传感器
途安,HAS_UNIT,轴承
冠道,HAS_UNIT,传感器
君越,HAS_UNIT,轴承
雅阁,HAS_UNIT,燃油泵
名爵6新能源,HAS_UNIT,变速箱
奔驰GLC,HAS_UNIT,空调
睿骋,HAS_UNIT,转向机
途铠,HAS_UNIT,电机
轩逸,HAS_UNIT,助力泵
传祺GA4,HAS_UNIT,发动机
奕炫GS,HAS_UNIT,发动机
MG ONE,HAS_UNIT,变速箱
秦新能源,HAS_UNIT,变速箱
秦新能源,HAS_UNIT,发动机
电流,FEATURE_FAILURE,降低
比亚迪S7,HAS_UNIT,变速箱
长安UNI-V,HAS_UNIT,轴承
EVOS,HAS_UNIT,电池
宝典,HAS_UNIT,发动机
缤瑞,HAS_UNIT,助力泵
红旗HS7,HAS_UNIT,轴承
奥迪Q5L,HAS_UNIT,空调
马自达3 昂克赛拉,HAS_UNIT,轴承
帝豪GS,HAS_UNIT,发动机
途岳,HAS_UNIT,电机
探界者,HAS_UNIT,燃油泵
起亚K5,HAS_UNIT,变速箱
捷途X70,HAS_UNIT,轴承
飞度,HAS_UNIT,燃油泵
远景X1,HAS_UNIT,转向机
菲斯塔,HAS_UNIT,电机
宝马5系新能源,HAS_UNIT,电池
变速箱,COMPOSED_OF,控制器
福睿斯,HAS_UNIT,转向机
冠道,HAS_UNIT,空调
飞度,HAS_UNIT,冷却系统
飞度,HAS_UNIT,水泵
嘉悦A5,HAS_UNIT,冷却系统
奕跑,HAS_UNIT,发动机
魏牌 VV7,HAS_UNIT,电机
逸动,HAS_UNIT,转向机
宝马5系,HAS_UNIT,变速箱
世锐PHEV,HAS_UNIT,电池
空调,UNIT_FAILURE,报警
Macan,HAS_UNIT,发动机
亚洲龙,HAS_UNIT,空调
风光580,HAS_UNIT,电机
沃尔沃XC60,HAS_UNIT,空调
奥迪A5,HAS_UNIT,发动机
奥迪A5,HAS_UNIT,水泵
长安欧尚X7,HAS_UNIT,传感器
众泰T600,HAS_UNIT,发动机
凯旋,HAS_UNIT,空调
飞度,HAS_UNIT,动力电池
飞度,HAS_UNIT,空调
奇骏,HAS_UNIT,空调
雅阁,HAS_UNIT,电机
唐,HAS_UNIT,电池
唐,HAS_UNIT,动力电池
荣威RX5 MAX,HAS_UNIT,发动机
帝豪新能源,HAS_UNIT,传感器
迈锐宝,HAS_UNIT,发动机
瑞虎3x,HAS_UNIT,空调
